"∞≈∑°¿œ¿⁄","«∞∏Ò∏Ì","π›¿‘∑Æ","±›æ◊","¿¸≥‚ π›¿‘∑Æ","¿¸≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","¿¸≥‚ ±›æ◊","¿¸≥‚ ±›æ◊ ¡ı∞®∑¸(%)","∆Ú≥‚ π›¿‘∑Æ","∆Ú≥‚ π›¿‘∑Æ ¡ı∞®∑¸(%)","∆Ú≥‚ ±›æ◊","∆Ú≥‚ ±›æ◊ ¡ı∞®∑¸(%)"
"2020-04-¡ﬂ","Ω”πË√ﬂ","571397","1355834100","791282","-27.8","867866800","56.2","877633","-34.9","1311225922","3.4"
"2020-04-ªÛ","Ω”πË√ﬂ","629087","1526322100","846597","-25.7","966350600","57.9","868051","-27.5","1291675700","18.2"
"2020-03-«œ","Ω”πË√ﬂ","552910","1585263900","806714","-31.5","868740900","82.5","938222","-41.1","1557819665","1.8"
"2020-03-¡ﬂ","Ω”πË√ﬂ","471911","1698615600","928929","-49.2","893990500","90.0","869045","-45.7","1216567792","39.6"
"2020-03-ªÛ","Ω”πË√ﬂ","488263","1254580500","777568","-37.2","645781000","94.3","963699","-49.3","1208181509","3.8"
"2020-02-«œ","Ω”πË√ﬂ","684318","1548941700","807223","-15.2","665198800","132.9","881496","-22.4","990730713","56.3"
"2020-02-¡ﬂ","Ω”πË√ﬂ","741682","1573223800","959459","-22.7","806875400","95.0","1060763","-30.1","1247078432","26.2"
"2020-02-ªÛ","Ω”πË√ﬂ","692518","1177935700","599498","15.5","468280700","151.5","1135549","-39.0","1569293118","-24.9"
"2020-01-«œ","Ω”πË√ﬂ","893021","1361165200","1496573","-40.3","1149223500","18.4","1115845","-20.0","1335160084","1.9"
"2020-01-¡ﬂ","Ω”πË√ﬂ","1111266","1989473300","874395","27.1","692188500","187.4","1059313","4.9","993491111","100.3"
"2020-01-ªÛ","Ω”πË√ﬂ","792423","1588493500","865702","-8.5","849405600","87.0","1187255","-33.3","1275578600","24.5"
"2019-12-«œ","Ω”πË√ﬂ","892966","1551405300","531942","67.9","755821800","105.3","728410","22.6","1328869462","16.7"
"2019-12-¡ﬂ","Ω”πË√ﬂ","912755","1395710500",,"0.0","1042181800","33.9",,"0.0","1105272881","26.3"
"2019-12-ªÛ","Ω”πË√ﬂ","650949","1181409200",,"0.0","668740200","76.7",,"0.0","977446301","20.9"
"2019-11-«œ","Ω”πË√ﬂ","912347","1237185000","858523","6.3","914481000","35.3","1016326","-10.2","1045633190","18.3"
"2019-11-¡ﬂ","Ω”πË√ﬂ","928885","1438009400","1001706","-7.3","1028621900","39.8","1109250","-16.3","1101203823","30.6"
"2019-11-ªÛ","Ω”πË√ﬂ","822840","1431656500","947650","-13.2","1209960600","18.3","1208697","-31.9","1248508616","14.7"
"2019-10-«œ","Ω”πË√ﬂ","1013539","1991041100","985890","2.8","1166022400","70.8","1206196","-16.0","1266898696","57.2"
"2019-10-¡ﬂ","Ω”πË√ﬂ","713105","1653484000","913015","-21.9","1208615900","36.8","1127635","-36.8","1212181786","36.4"
"2019-10-ªÛ","Ω”πË√ﬂ","799133","1956902300","809608","-1.3","1046847500","86.9","1038292","-23.0","1363958910","43.5"
"2019-09-«œ","Ω”πË√ﬂ","652037","1624819100","604661","7.8","1193611800","36.1","1214023","-46.3","1768767664","-8.1"
"2019-09-¡ﬂ","Ω”πË√ﬂ","796036","1471464600","1079651","-26.3","2212573900","-33.5","1045844","-23.9","1870227540","-21.3"
"2019-09-ªÛ","Ω”πË√ﬂ","1097288","2396303200","632375","73.5","1591271600","50.6","846336","29.7","1989605344","20.4"
"2019-08-«œ","Ω”πË√ﬂ","987447","1569465800","459912","114.7","1586276400","-1.1","688993","43.3","1759326336","-10.8"
"2019-08-¡ﬂ","Ω”πË√ﬂ","849590","1242960300","454028","87.1","1311793900","-5.2","643338","32.1","1556135953","-20.1"
